Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:301: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 670 | step: 2640 | reward: 2.8500 | episode length: 5.6
episode: 679 | step: 2670 | reward: 2.1111 | episode length: 3.5555555555555554
episode: 686 | step: 2700 | reward: 2.4286 | episode length: 3.857142857142857
episode: 693 | step: 2730 | reward: 2.7857 | episode length: 4.714285714285714
episode: 700 | step: 2760 | reward: 2.5000 | episode length: 4.142857142857143
episode: 706 | step: 2790 | reward: 2.6667 | episode length: 4.333333333333333
episode: 714 | step: 2820 | reward: 2.3438 | episode length: 4.25
episode: 720 | step: 2850 | reward: 2.7500 | episode length: 4.666666666666667
episode: 727 | step: 2880 | reward: 2.6071 | episode length: 4.571428571428571
episode: 734 | step: 2910 | reward: 2.0714 | episode length: 3.857142857142857
episode: 741 | step: 2940 | reward: 2.6071 | episode length: 4.428571428571429
episode: 748 | step: 2970 | reward: 2.5000 | episode length: 4.285714285714286
episode: 757 | step: 3000 | reward: 1.8056 | episode length: 3.2222222222222223
episode: 764 | step: 3030 | reward: 2.8214 | episode length: 4.571428571428571
episode: 774 | step: 3060 | reward: 1.6750 | episode length: 3.2
episode: 782 | step: 3090 | reward: 2.0312 | episode length: 3.75
episode: 788 | step: 3120 | reward: 3.0833 | episode length: 4.666666666666667
episode: 795 | step: 3150 | reward: 2.2500 | episode length: 4.142857142857143
episode: 801 | step: 3180 | reward: 3.3750 | episode length: 5.166666666666667
episode: 809 | step: 3210 | reward: 2.3750 | episode length: 4.0
episode: 818 | step: 3240 | reward: 1.9167 | episode length: 3.3333333333333335
episode: 824 | step: 3270 | reward: 1.8750 | episode length: 3.5
episode: 831 | step: 3300 | reward: 3.0000 | episode length: 5.571428571428571
episode: 837 | step: 3330 | reward: 2.8333 | episode length: 4.666666666666667
episode: 846 | step: 3360 | reward: 2.0556 | episode length: 3.3333333333333335
episode: 853 | step: 3390 | reward: 2.2857 | episode length: 4.0
episode: 859 | step: 3420 | reward: 3.2500 | episode length: 5.166666666666667
episode: 867 | step: 3450 | reward: 2.3750 | episode length: 3.75
