Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:302: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 682 | step: 2640 | reward: 2.6071 | episode length: 4.285714285714286
episode: 689 | step: 2670 | reward: 2.6071 | episode length: 4.571428571428571
episode: 695 | step: 2700 | reward: 2.1250 | episode length: 3.8333333333333335
episode: 702 | step: 2730 | reward: 2.9643 | episode length: 5.142857142857143
episode: 712 | step: 2760 | reward: 1.9000 | episode length: 3.0
episode: 719 | step: 2790 | reward: 2.5714 | episode length: 4.285714285714286
episode: 727 | step: 2820 | reward: 2.1250 | episode length: 3.75
episode: 734 | step: 2850 | reward: 2.5714 | episode length: 4.0
episode: 743 | step: 2880 | reward: 1.7222 | episode length: 3.2222222222222223
episode: 751 | step: 2910 | reward: 2.7188 | episode length: 4.25
episode: 758 | step: 2940 | reward: 2.2500 | episode length: 3.857142857142857
episode: 767 | step: 2970 | reward: 2.2778 | episode length: 3.7777777777777777
episode: 774 | step: 3000 | reward: 2.3214 | episode length: 4.0
episode: 782 | step: 3030 | reward: 2.0938 | episode length: 4.0
episode: 790 | step: 3060 | reward: 1.9062 | episode length: 3.5
episode: 799 | step: 3090 | reward: 2.1111 | episode length: 3.4444444444444446
episode: 809 | step: 3120 | reward: 1.7500 | episode length: 2.9
episode: 817 | step: 3150 | reward: 2.1562 | episode length: 3.875
episode: 827 | step: 3180 | reward: 1.5250 | episode length: 3.1
episode: 836 | step: 3210 | reward: 1.3611 | episode length: 2.7777777777777777
episode: 845 | step: 3240 | reward: 2.0833 | episode length: 3.7777777777777777
episode: 852 | step: 3270 | reward: 2.6071 | episode length: 4.285714285714286
episode: 859 | step: 3300 | reward: 2.5357 | episode length: 4.285714285714286
episode: 865 | step: 3330 | reward: 2.4167 | episode length: 4.333333333333333
episode: 871 | step: 3360 | reward: 3.2500 | episode length: 5.666666666666667
episode: 878 | step: 3390 | reward: 2.4286 | episode length: 4.142857142857143
episode: 884 | step: 3420 | reward: 2.7083 | episode length: 4.5
episode: 894 | step: 3450 | reward: 2.0250 | episode length: 3.5
episode: 900 | step: 3480 | reward: 2.4167 | episode length: 4.333333333333333
episode: 907 | step: 3510 | reward: 2.5357 | episode length: 4.714285714285714
episode: 913 | step: 3540 | reward: 2.9583 | episode length: 4.666666666666667
episode: 921 | step: 3570 | reward: 2.3438 | episode length: 4.0
episode: 928 | step: 3600 | reward: 2.3214 | episode length: 4.428571428571429
episode: 934 | step: 3630 | reward: 2.8333 | episode length: 5.0
episode: 940 | step: 3660 | reward: 2.6250 | episode length: 4.666666666666667
episode: 947 | step: 3690 | reward: 2.8929 | episode length: 4.571428571428571
episode: 953 | step: 3720 | reward: 2.3333 | episode length: 4.166666666666667
episode: 960 | step: 3750 | reward: 2.5714 | episode length: 4.428571428571429
episode: 966 | step: 3780 | reward: 3.3333 | episode length: 5.5
episode: 974 | step: 3810 | reward: 2.2812 | episode length: 3.875
episode: 984 | step: 3840 | reward: 1.6250 | episode length: 2.9
episode: 994 | step: 3870 | reward: 1.6500 | episode length: 2.9
episode: 1002 | step: 3900 | reward: 2.2188 | episode length: 3.75
episode: 1011 | step: 3930 | reward: 2.1667 | episode length: 3.5555555555555554
episode: 1017 | step: 3960 | reward: 2.5000 | episode length: 4.5
episode: 1025 | step: 3990 | reward: 2.1875 | episode length: 3.625
episode: 1033 | step: 4020 | reward: 2.4688 | episode length: 4.25
episode: 1040 | step: 4050 | reward: 2.4286 | episode length: 4.0
episode: 1049 | step: 4080 | reward: 2.0278 | episode length: 3.4444444444444446
episode: 1056 | step: 4110 | reward: 2.0714 | episode length: 3.857142857142857
episode: 1063 | step: 4140 | reward: 2.6429 | episode length: 4.428571428571429
episode: 1070 | step: 4170 | reward: 2.4643 | episode length: 4.285714285714286
episode: 1077 | step: 4200 | reward: 2.4286 | episode length: 4.428571428571429
episode: 1083 | step: 4230 | reward: 2.7917 | episode length: 4.666666666666667
episode: 1091 | step: 4260 | reward: 2.2812 | episode length: 4.25
episode: 1098 | step: 4290 | reward: 2.1786 | episode length: 3.857142857142857
episode: 1108 | step: 4320 | reward: 1.8750 | episode length: 3.1
episode: 1115 | step: 4350 | reward: 2.3571 | episode length: 4.142857142857143
episode: 1124 | step: 4380 | reward: 2.0000 | episode length: 3.5555555555555554
episode: 1133 | step: 4410 | reward: 2.0278 | episode length: 3.4444444444444446
episode: 1141 | step: 4440 | reward: 2.3125 | episode length: 3.75
episode: 1148 | step: 4470 | reward: 2.4286 | episode length: 4.142857142857143
episode: 1156 | step: 4500 | reward: 2.0625 | episode length: 3.625
episode: 1165 | step: 4530 | reward: 1.8611 | episode length: 3.5555555555555554
episode: 1174 | step: 4560 | reward: 1.8889 | episode length: 3.3333333333333335
episode: 1181 | step: 4590 | reward: 1.9643 | episode length: 3.857142857142857
episode: 1192 | step: 4620 | reward: 1.5000 | episode length: 2.909090909090909
episode: 1199 | step: 4650 | reward: 2.5357 | episode length: 4.285714285714286
episode: 1208 | step: 4680 | reward: 1.7222 | episode length: 3.2222222222222223
episode: 1215 | step: 4710 | reward: 2.6786 | episode length: 4.571428571428571
episode: 1223 | step: 4740 | reward: 1.9062 | episode length: 3.625
