Observation Space Shape: (4, 3, 11, 11)
ppo_basic.py:279: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_agents = torch.tensor(state_agents, device = self.PPO.device, dtype=torch.float32)
episode: 679 | step: 2640 | reward: 2.0625 | episode length: 3.625
episode: 688 | step: 2670 | reward: 2.0278 | episode length: 3.6666666666666665
episode: 695 | step: 2700 | reward: 2.0000 | episode length: 3.857142857142857
episode: 702 | step: 2730 | reward: 2.4286 | episode length: 4.571428571428571
episode: 711 | step: 2760 | reward: 1.7500 | episode length: 3.2222222222222223
episode: 717 | step: 2790 | reward: 2.5833 | episode length: 4.5
episode: 724 | step: 2820 | reward: 2.5357 | episode length: 4.571428571428571
episode: 730 | step: 2850 | reward: 3.0833 | episode length: 4.833333333333333
episode: 737 | step: 2880 | reward: 2.4643 | episode length: 4.571428571428571
episode: 745 | step: 2910 | reward: 1.9062 | episode length: 3.625
episode: 756 | step: 2940 | reward: 1.7045 | episode length: 3.0
episode: 764 | step: 2970 | reward: 2.1562 | episode length: 3.75
episode: 773 | step: 3000 | reward: 1.5278 | episode length: 3.0
episode: 783 | step: 3030 | reward: 1.8750 | episode length: 3.3
episode: 790 | step: 3060 | reward: 2.4286 | episode length: 4.285714285714286
episode: 798 | step: 3090 | reward: 2.0938 | episode length: 3.625
episode: 804 | step: 3120 | reward: 2.5417 | episode length: 4.5
episode: 811 | step: 3150 | reward: 2.6071 | episode length: 4.285714285714286
episode: 818 | step: 3180 | reward: 2.9643 | episode length: 4.571428571428571
episode: 827 | step: 3210 | reward: 1.9722 | episode length: 3.5555555555555554
episode: 836 | step: 3240 | reward: 1.6111 | episode length: 3.2222222222222223
episode: 844 | step: 3270 | reward: 2.1875 | episode length: 3.625
episode: 853 | step: 3300 | reward: 1.8889 | episode length: 3.111111111111111
episode: 861 | step: 3330 | reward: 2.1562 | episode length: 3.75
episode: 869 | step: 3360 | reward: 2.3750 | episode length: 4.125
episode: 877 | step: 3390 | reward: 2.3438 | episode length: 3.875
episode: 887 | step: 3420 | reward: 1.6750 | episode length: 3.0
episode: 895 | step: 3450 | reward: 2.0312 | episode length: 3.75
episode: 902 | step: 3480 | reward: 2.0714 | episode length: 3.7142857142857144
episode: 911 | step: 3510 | reward: 1.9167 | episode length: 3.4444444444444446
episode: 919 | step: 3540 | reward: 2.2500 | episode length: 4.0
episode: 926 | step: 3570 | reward: 2.5357 | episode length: 4.285714285714286
episode: 931 | step: 3600 | reward: 2.6500 | episode length: 5.0
episode: 939 | step: 3630 | reward: 2.0312 | episode length: 3.75
episode: 946 | step: 3660 | reward: 2.8929 | episode length: 5.142857142857143
episode: 955 | step: 3690 | reward: 1.8889 | episode length: 3.2222222222222223
episode: 961 | step: 3720 | reward: 2.7917 | episode length: 4.833333333333333
episode: 968 | step: 3750 | reward: 2.2500 | episode length: 4.0
episode: 976 | step: 3780 | reward: 2.4062 | episode length: 4.125
episode: 985 | step: 3810 | reward: 1.5833 | episode length: 3.2222222222222223
episode: 993 | step: 3840 | reward: 2.1250 | episode length: 3.5
episode: 1001 | step: 3870 | reward: 2.3750 | episode length: 4.125
episode: 1009 | step: 3900 | reward: 1.9062 | episode length: 3.5
episode: 1018 | step: 3930 | reward: 2.1389 | episode length: 3.6666666666666665
episode: 1027 | step: 3960 | reward: 1.7500 | episode length: 3.111111111111111
episode: 1034 | step: 3990 | reward: 2.1071 | episode length: 3.7142857142857144
episode: 1040 | step: 4020 | reward: 3.5833 | episode length: 5.833333333333333
episode: 1048 | step: 4050 | reward: 2.4375 | episode length: 3.75
episode: 1057 | step: 4080 | reward: 1.7500 | episode length: 3.111111111111111
episode: 1067 | step: 4110 | reward: 1.8000 | episode length: 3.2
episode: 1075 | step: 4140 | reward: 1.9688 | episode length: 3.625
episode: 1083 | step: 4170 | reward: 2.1875 | episode length: 3.75
episode: 1091 | step: 4200 | reward: 2.2188 | episode length: 4.0
episode: 1097 | step: 4230 | reward: 2.7917 | episode length: 4.5
episode: 1102 | step: 4260 | reward: 3.4000 | episode length: 6.2
episode: 1109 | step: 4290 | reward: 1.8214 | episode length: 3.4285714285714284
episode: 1118 | step: 4320 | reward: 2.5278 | episode length: 4.222222222222222
episode: 1126 | step: 4350 | reward: 2.1562 | episode length: 3.625
episode: 1135 | step: 4380 | reward: 1.7500 | episode length: 3.0
episode: 1141 | step: 4410 | reward: 3.0417 | episode length: 5.0
episode: 1149 | step: 4440 | reward: 2.2812 | episode length: 4.125
episode: 1157 | step: 4470 | reward: 2.1562 | episode length: 3.75
episode: 1166 | step: 4500 | reward: 1.6944 | episode length: 3.111111111111111
episode: 1174 | step: 4530 | reward: 2.0938 | episode length: 3.625
episode: 1182 | step: 4560 | reward: 2.5938 | episode length: 4.25
episode: 1190 | step: 4590 | reward: 1.9375 | episode length: 3.375
episode: 1199 | step: 4620 | reward: 1.9444 | episode length: 3.4444444444444446
episode: 1205 | step: 4650 | reward: 2.6667 | episode length: 4.5
episode: 1214 | step: 4680 | reward: 1.9444 | episode length: 3.6666666666666665
episode: 1221 | step: 4710 | reward: 2.5714 | episode length: 4.571428571428571
episode: 1227 | step: 4740 | reward: 2.5833 | episode length: 4.666666666666667
episode: 1235 | step: 4770 | reward: 1.8125 | episode length: 3.5
episode: 1241 | step: 4800 | reward: 3.0833 | episode length: 5.166666666666667
episode: 1249 | step: 4830 | reward: 2.2812 | episode length: 4.0
episode: 1257 | step: 4860 | reward: 2.1875 | episode length: 3.875
episode: 1265 | step: 4890 | reward: 2.1250 | episode length: 3.625
episode: 1273 | step: 4920 | reward: 2.1875 | episode length: 3.875
episode: 1280 | step: 4950 | reward: 2.3214 | episode length: 3.857142857142857
episode: 1286 | step: 4980 | reward: 2.6250 | episode length: 4.833333333333333
episode: 1296 | step: 5010 | reward: 1.8750 | episode length: 3.4
episode: 1305 | step: 5040 | reward: 1.7500 | episode length: 3.2222222222222223
episode: 1313 | step: 5070 | reward: 2.4062 | episode length: 3.875
episode: 1322 | step: 5100 | reward: 1.9167 | episode length: 3.3333333333333335
episode: 1328 | step: 5130 | reward: 3.1250 | episode length: 5.0
episode: 1335 | step: 5160 | reward: 2.1786 | episode length: 4.0
episode: 1344 | step: 5190 | reward: 2.1389 | episode length: 3.4444444444444446
episode: 1351 | step: 5220 | reward: 2.2500 | episode length: 4.0
episode: 1359 | step: 5250 | reward: 2.3438 | episode length: 4.125
episode: 1365 | step: 5280 | reward: 2.7917 | episode length: 5.0
episode: 1370 | step: 5310 | reward: 2.4500 | episode length: 4.2
episode: 1379 | step: 5340 | reward: 2.5556 | episode length: 4.222222222222222
episode: 1387 | step: 5370 | reward: 2.0000 | episode length: 3.75
episode: 1395 | step: 5400 | reward: 1.7500 | episode length: 3.375
episode: 1404 | step: 5430 | reward: 2.4167 | episode length: 3.7777777777777777
episode: 1411 | step: 5460 | reward: 2.3929 | episode length: 4.142857142857143
episode: 1419 | step: 5490 | reward: 2.1250 | episode length: 3.75
episode: 1428 | step: 5520 | reward: 1.9167 | episode length: 3.3333333333333335
episode: 1439 | step: 5550 | reward: 1.5682 | episode length: 2.727272727272727
episode: 1448 | step: 5580 | reward: 1.9444 | episode length: 3.3333333333333335
episode: 1457 | step: 5610 | reward: 1.9722 | episode length: 3.3333333333333335
episode: 1465 | step: 5640 | reward: 2.0312 | episode length: 3.375
episode: 1473 | step: 5670 | reward: 2.2500 | episode length: 4.0
episode: 1480 | step: 5700 | reward: 2.6071 | episode length: 4.285714285714286
episode: 1488 | step: 5730 | reward: 2.0938 | episode length: 3.625
episode: 1496 | step: 5760 | reward: 2.1250 | episode length: 3.875
episode: 1506 | step: 5790 | reward: 1.7250 | episode length: 3.2
episode: 1513 | step: 5820 | reward: 2.5000 | episode length: 4.285714285714286
episode: 1519 | step: 5850 | reward: 2.4167 | episode length: 4.333333333333333
episode: 1526 | step: 5880 | reward: 2.6071 | episode length: 4.571428571428571
episode: 1533 | step: 5910 | reward: 2.7500 | episode length: 4.428571428571429
episode: 1541 | step: 5940 | reward: 2.5000 | episode length: 3.875
episode: 1549 | step: 5970 | reward: 2.0625 | episode length: 3.75
episode: 1554 | step: 6000 | reward: 2.8000 | episode length: 5.0
episode: 1562 | step: 6030 | reward: 2.5938 | episode length: 4.0
episode: 1572 | step: 6060 | reward: 1.6750 | episode length: 3.1
episode: 1579 | step: 6090 | reward: 2.7857 | episode length: 4.571428571428571
episode: 1587 | step: 6120 | reward: 1.7812 | episode length: 3.625
episode: 1596 | step: 6150 | reward: 1.8056 | episode length: 3.3333333333333335
episode: 1602 | step: 6180 | reward: 2.7917 | episode length: 4.833333333333333
episode: 1610 | step: 6210 | reward: 2.3750 | episode length: 4.0
episode: 1617 | step: 6240 | reward: 2.3571 | episode length: 4.285714285714286
episode: 1625 | step: 6270 | reward: 2.3125 | episode length: 3.75
episode: 1631 | step: 6300 | reward: 2.7083 | episode length: 4.333333333333333
episode: 1638 | step: 6330 | reward: 2.8929 | episode length: 4.857142857142857
episode: 1646 | step: 6360 | reward: 2.1250 | episode length: 3.5
episode: 1655 | step: 6390 | reward: 1.9722 | episode length: 3.2222222222222223
episode: 1664 | step: 6420 | reward: 2.1944 | episode length: 3.6666666666666665
episode: 1671 | step: 6450 | reward: 2.4286 | episode length: 4.285714285714286
episode: 1679 | step: 6480 | reward: 2.0938 | episode length: 3.75
episode: 1686 | step: 6510 | reward: 2.2857 | episode length: 4.285714285714286
episode: 1694 | step: 6540 | reward: 1.9688 | episode length: 3.625
episode: 1704 | step: 6570 | reward: 1.6000 | episode length: 3.1
episode: 1711 | step: 6600 | reward: 2.2143 | episode length: 3.7142857142857144
episode: 1717 | step: 6630 | reward: 2.3750 | episode length: 4.666666666666667
episode: 1723 | step: 6660 | reward: 4.0417 | episode length: 5.833333333333333
episode: 1731 | step: 6690 | reward: 2.1562 | episode length: 3.75
episode: 1738 | step: 6720 | reward: 2.1429 | episode length: 4.0
episode: 1748 | step: 6750 | reward: 1.8250 | episode length: 3.3
episode: 1757 | step: 6780 | reward: 1.8889 | episode length: 3.3333333333333335
episode: 1765 | step: 6810 | reward: 1.8438 | episode length: 3.375
episode: 1773 | step: 6840 | reward: 2.4375 | episode length: 4.125
episode: 1781 | step: 6870 | reward: 2.0625 | episode length: 3.25
episode: 1788 | step: 6900 | reward: 2.6429 | episode length: 4.714285714285714
episode: 1794 | step: 6930 | reward: 2.5000 | episode length: 4.666666666666667
episode: 1803 | step: 6960 | reward: 1.9444 | episode length: 3.3333333333333335
episode: 1812 | step: 6990 | reward: 2.1111 | episode length: 3.4444444444444446
episode: 1822 | step: 7020 | reward: 1.7750 | episode length: 3.2
episode: 1829 | step: 7050 | reward: 2.4286 | episode length: 4.142857142857143
episode: 1836 | step: 7080 | reward: 2.2500 | episode length: 4.0
episode: 1843 | step: 7110 | reward: 2.8571 | episode length: 4.714285714285714
episode: 1852 | step: 7140 | reward: 1.7778 | episode length: 3.3333333333333335
episode: 1859 | step: 7170 | reward: 2.5714 | episode length: 4.285714285714286
episode: 1863 | step: 7200 | reward: 3.9375 | episode length: 6.5
episode: 1872 | step: 7230 | reward: 2.0000 | episode length: 3.6666666666666665
episode: 1879 | step: 7260 | reward: 2.6071 | episode length: 4.428571428571429
episode: 1886 | step: 7290 | reward: 2.1786 | episode length: 4.285714285714286
episode: 1894 | step: 7320 | reward: 2.0000 | episode length: 3.5
episode: 1901 | step: 7350 | reward: 2.2857 | episode length: 4.0
episode: 1907 | step: 7380 | reward: 3.1250 | episode length: 5.0
episode: 1916 | step: 7410 | reward: 2.0278 | episode length: 3.5555555555555554
episode: 1924 | step: 7440 | reward: 2.3125 | episode length: 3.875
episode: 1932 | step: 7470 | reward: 2.1875 | episode length: 3.625
episode: 1940 | step: 7500 | reward: 2.4375 | episode length: 3.875
episode: 1948 | step: 7530 | reward: 2.2812 | episode length: 3.75
episode: 1953 | step: 7560 | reward: 3.0500 | episode length: 5.4
episode: 1960 | step: 7590 | reward: 2.6429 | episode length: 4.857142857142857
episode: 1968 | step: 7620 | reward: 1.9375 | episode length: 3.625
episode: 1978 | step: 7650 | reward: 1.9000 | episode length: 3.1
episode: 1985 | step: 7680 | reward: 2.1071 | episode length: 4.0
episode: 1993 | step: 7710 | reward: 2.2500 | episode length: 3.75
episode: 2000 | step: 7740 | reward: 2.2500 | episode length: 3.857142857142857
episode: 2006 | step: 7770 | reward: 3.2500 | episode length: 5.166666666666667
episode: 2016 | step: 7800 | reward: 2.0250 | episode length: 3.4
episode: 2025 | step: 7830 | reward: 1.7222 | episode length: 3.3333333333333335
episode: 2032 | step: 7860 | reward: 2.6071 | episode length: 4.285714285714286
episode: 2040 | step: 7890 | reward: 2.2188 | episode length: 3.625
episode: 2048 | step: 7920 | reward: 2.2812 | episode length: 3.75
episode: 2056 | step: 7950 | reward: 2.0938 | episode length: 3.625
episode: 2064 | step: 7980 | reward: 2.2188 | episode length: 4.0
episode: 2071 | step: 8010 | reward: 2.7857 | episode length: 4.285714285714286
episode: 2077 | step: 8040 | reward: 3.2083 | episode length: 5.0
episode: 2087 | step: 8070 | reward: 1.5250 | episode length: 2.9
episode: 2096 | step: 8100 | reward: 1.8333 | episode length: 3.3333333333333335
episode: 2102 | step: 8130 | reward: 2.8333 | episode length: 5.166666666666667
episode: 2110 | step: 8160 | reward: 2.1875 | episode length: 3.625
episode: 2119 | step: 8190 | reward: 1.9167 | episode length: 3.4444444444444446
episode: 2124 | step: 8220 | reward: 2.6000 | episode length: 4.4
episode: 2133 | step: 8250 | reward: 2.1667 | episode length: 3.888888888888889
episode: 2141 | step: 8280 | reward: 2.1875 | episode length: 4.125
episode: 2151 | step: 8310 | reward: 1.6250 | episode length: 3.0
